period,gender,age_group,brand,ratio
2024-01-01,male,10대,포카리스웨트,23.81
2024-01-01,male,10대,게토레이,19.05
2024-01-01,male,10대,파워에이드,33.33
2024-01-01,male,10대,토레타,4.76
2024-01-01,male,10대,링티,19.05
2024-01-02,male,10대,포카리스웨트,40.91
2024-01-02,male,10대,게토레이,6.82
2024-01-02,male,10대,파워에이드,27.27
2024-01-02,male,10대,토레타,6.82
2024-01-02,male,10대,링티,18.18
2024-01-03,male,10대,포카리스웨트,34.21
2024-01-03,male,10대,게토레이,13.16
2024-01-03,male,10대,파워에이드,21.05
2024-01-03,male,10대,토레타,10.53
2024-01-03,male,10대,링티,21.05
2024-01-04,male,10대,포카리스웨트,40.0
2024-01-04,male,10대,게토레이,17.78
2024-01-04,male,10대,파워에이드,15.56
2024-01-04,male,10대,토레타,11.11
2024-01-04,male,10대,링티,15.56
2024-01-05,male,10대,포카리스웨트,40.91
2024-01-05,male,10대,게토레이,15.91
2024-01-05,male,10대,파워에이드,20.45
2024-01-05,male,10대,토레타,9.09
2024-01-05,male,10대,링티,13.64
2024-01-06,male,10대,포카리스웨트,37.5
2024-01-06,male,10대,게토레이,20.83
2024-01-06,male,10대,파워에이드,14.58
2024-01-06,male,10대,토레타,14.58
2024-01-06,male,10대,링티,12.5
2024-01-07,male,10대,포카리스웨트,48.78
2024-01-07,male,10대,게토레이,14.63
2024-01-07,male,10대,파워에이드,7.32
2024-01-07,male,10대,토레타,9.76
2024-01-07,male,10대,링티,19.51
2024-01-08,male,10대,포카리스웨트,50.94
2024-01-08,male,10대,게토레이,7.55
2024-01-08,male,10대,파워에이드,24.53
2024-01-08,male,10대,토레타,3.77
2024-01-08,male,10대,링티,13.21
2024-01-09,male,10대,포카리스웨트,27.91
2024-01-09,male,10대,게토레이,18.6
2024-01-09,male,10대,파워에이드,25.58
2024-01-09,male,10대,토레타,11.63
2024-01-09,male,10대,링티,16.28
2024-01-10,male,10대,포카리스웨트,25.0
2024-01-10,male,10대,게토레이,28.13
2024-01-10,male,10대,파워에이드,18.75
2024-01-10,male,10대,토레타,12.5
2024-01-10,male,10대,링티,15.62
2024-01-11,male,10대,포카리스웨트,47.62
2024-01-11,male,10대,게토레이,11.9
2024-01-11,male,10대,파워에이드,11.9
2024-01-11,male,10대,토레타,11.9
2024-01-11,male,10대,링티,16.67
2024-01-12,male,10대,포카리스웨트,40.0
2024-01-12,male,10대,게토레이,15.56
2024-01-12,male,10대,파워에이드,26.67
2024-01-12,male,10대,토레타,8.89
2024-01-12,male,10대,링티,8.89
2024-01-13,male,10대,포카리스웨트,30.77
2024-01-13,male,10대,게토레이,11.54
2024-01-13,male,10대,파워에이드,32.69
2024-01-13,male,10대,토레타,5.77
2024-01-13,male,10대,링티,19.23
2024-01-14,male,10대,포카리스웨트,37.5
2024-01-14,male,10대,게토레이,16.07
2024-01-14,male,10대,파워에이드,14.29
2024-01-14,male,10대,토레타,7.14
2024-01-14,male,10대,링티,25.0
2024-01-15,male,10대,포카리스웨트,31.58
2024-01-15,male,10대,게토레이,15.79
2024-01-15,male,10대,파워에이드,23.68
2024-01-15,male,10대,토레타,5.26
2024-01-15,male,10대,링티,23.68
2024-01-16,male,10대,포카리스웨트,48.84
2024-01-16,male,10대,게토레이,11.63
2024-01-16,male,10대,파워에이드,18.6
2024-01-16,male,10대,토레타,9.3
2024-01-16,male,10대,링티,11.63
2024-01-17,male,10대,포카리스웨트,48.78
2024-01-17,male,10대,게토레이,12.2
2024-01-17,male,10대,파워에이드,12.2
2024-01-17,male,10대,토레타,17.07
2024-01-17,male,10대,링티,9.76
2024-01-18,male,10대,포카리스웨트,48.84
2024-01-18,male,10대,게토레이,11.63
2024-01-18,male,10대,파워에이드,23.26
2024-01-18,male,10대,토레타,6.98
2024-01-18,male,10대,링티,9.3
2024-01-19,male,10대,포카리스웨트,52.08
2024-01-19,male,10대,게토레이,16.67
2024-01-19,male,10대,파워에이드,18.75
2024-01-19,male,10대,토레타,2.08
2024-01-19,male,10대,링티,10.42
2024-01-20,male,10대,포카리스웨트,32.35
2024-01-20,male,10대,게토레이,11.76
2024-01-20,male,10대,파워에이드,17.65
2024-01-20,male,10대,토레타,17.65
2024-01-20,male,10대,링티,20.59
2024-01-21,male,10대,포카리스웨트,40.0
2024-01-21,male,10대,게토레이,5.71
2024-01-21,male,10대,파워에이드,28.57
2024-01-21,male,10대,토레타,8.57
2024-01-21,male,10대,링티,17.14
2024-01-22,male,10대,포카리스웨트,26.19
2024-01-22,male,10대,게토레이,19.05
2024-01-22,male,10대,파워에이드,26.19
2024-01-22,male,10대,토레타,14.29
2024-01-22,male,10대,링티,14.29
2024-01-23,male,10대,포카리스웨트,60.87
